ְƒררררר  --- START ---
   22,  780, 1000,  365,   12
   24,  828, 1000,  402,   15
   30,  886, 1000,  441,   21
   46,  997, 1000,  490,   33
   49, 1000, 1000,  520,   36
   39, 1000, 1000,  507,   27
   64, 1000, 1000,  563,   26
   56, 1000, 1000,  615,   39
   59, 1000, 1000,  678,   42
   64, 1000, 1000,  741,   27
   70, 1000, 1000,  834,   33
   79, 1000, 1000,  911,   42
  105, 1000, 1000,  995,   48
  128, 1000, 1000, 1000,   71
  114, 1000, 1000, 1000,   79
  144, 1000, 1000, 1000,   89
  153, 1000, 1000, 1000,   98
  171, 1000, 1000, 1000,   97
  194, 1000, 1000, 1000,  120
  214, 1000, 1000, 1000,  134
  264, 1000, 1000, 1000,  172
  269, 1000, 1000, 1000,  158
  301, 1000, 1000, 1000,  185
  341, 1000, 1000, 1000,  206
  382, 1000, 1000, 1000,  229
  432, 1000, 1000, 1000,  246
  500, 1000, 1000, 1000,  284
  583, 1000, 1000, 1000,  327
  666, 1000, 1000, 1000,  359
  762, 1000, 1000, 1000,  409
  858, 1000, 1000, 1000,  419
  967, 1000, 1000, 1000,  484
 1000, 1000, 1000, 1000,  539
 1000, 1000, 1000, 1000,  660
 1000, 1000, 1000, 1000,  722
 1000, 1000, 1000, 1000,  805
 1000, 1000, 1000, 1000,  928
 1000, 1000, 1000, 1000, 1000
 1000, 1000, 1000, 1000, 1000
 1000, 1000, 1000, 1000, 1000
 1000, 1000, 1000, 1000, 1000
 1000, 1000, 1000, 1000, 1000
 1000, 1000, 1000, 1000, 1000
 1000, 1000, 1000, 1000, 1000
 1000, 1000, 1000, 1000, 1000
 1000, 1000, 1000, 1000, 1000
 1000, 1000, 1000, 1000, 1000
 1000, 1000, 1000, 1000, 1000
 1000, 1000,  933, 1000, 1000
 1000, 1000,  826, 1000, 1000
 1000, 1000,  750, 1000, 1000
 1000,  962,  675, 1000, 1000
 1000,  850,  591, 1000, 1000
 1000,  757,  536, 1000, 1000
 1000,  709,  512,  945, 1000
 1000,  615,  427,  819, 1000
 1000,  534,  368,  731, 1000
 1000,  471,  334,  665, 1000
 1000,  415,  291,  587, 1000
 1000,  361,  270,  534, 1000
 1000,  327,  230,  477, 1000
 1000,  306,  207,  426, 1000
 1000,  285,  205,  410, 1000
 1000,  234,  179,  351, 1000
 1000,  216,  164,  314, 1000
 1000,  186,  131,  288, 1000
 1000,  167,  110,  263, 1000
 1000,  149,  112,  239, 1000
 1000,  123,   92,  211, 1000
 1000,  121,  101,  211, 1000
  927,   90,   75,  171, 1000
  844,   83,   67,  153, 1000
  742,   73,   59,  137, 1000
  655,   54,   52,  128, 1000
  575,   47,   46,  103, 1000
  501,   46,   43,  102, 1000
  432,   41,   40,   76, 1000
  372,   34,   27,   69, 1000
  316,   30,   16,   64, 1000
  291,   25,   35,   59, 1000
  255,   24,   23,   58, 1000
  244,   25,   33,   59, 1000
  178,   13,   20,   47,  998
  146,   10,   17,   44,  958
  120,    6,   14,   39,  899
   95,    4,   11,   37,  871
   74,    0,    9,   32,  815
   59,    0,    7,   29,  795
   49,    0,    3,   26,  779
   35,    0,    3,   23,  771
   24,    0,    0,   19,  746
    9,    0,    0,   19,  718
    1,    0,    0,   16,  743
    0,    0,    0,   14,  750
    0,    0,    0,   14,  755
    0,    0,    0,   14,  768
    0,    0,    0,   14,  770
    0,    0,    0,   14,  779
    0,    0,    0,   14,  783
    0,    0,    0,   14,  792
  --- END ---
